"operadora","contrato","campo","formacion_productora","modalidad","vigencia","mes","tipo_prueba","fecha_inicio","fecha_fin","tipo_fluido","petroleo_bbl","gas_ksc","estado"
"CNEOG Sucursal Colombia","VIM 5","Borbon","Cienaga de Oro","Evaluación","2025","8","Extensas","2025-08-18T00:00:00.000","2026-02-17T00:00:00.000","Gas","0.00","0.00","Activo"
"CNEOG Sucursal Colombia","VIM 33","Dividivi","Cicuco","Evaluación","2025","8","Extensas","2025-03-02T00:00:00.000","2025-09-01T00:00:00.000","Gas","1273.00","0.00","Activo"
"Ecopetrol S.A.","CPO 9","Lorito","San Fernando","Explotación","2025","8","Extensas","2025-02-05T00:00:00.000","2025-08-04T00:00:00.000","Petróleo y gas","126.00","1197.00","Activo"
"Ecopetrol S.A.","CPO 9","Tinamu","Guadalupe","Evaluación","2025","8","Extensas","2025-02-05T00:00:00.000","2025-08-04T00:00:00.000","Petróleo","0.00","0.00","Inactivo"
"Ecopetrol S.A.","CPO 9","Tinamu","Guadalupe K1","Evaluación","2025","8","Extensas","2025-02-05T00:00:00.000","2025-08-04T00:00:00.000","Petróleo y gas","21.00","469.00","Activo"
"Ecopetrol S.A.","Pijao Potrerillo","Dina Cretaceo","Honda","Explotación","2025","8","Extensas","2025-08-01T00:00:00.000","2026-01-31T00:00:00.000","Petróleo y gas","2.70","10.50","Activo"
"Ecopetrol S.A.","Pijao Potrerillo","Loma larga","Honda","Explotación","2025","8","Extensas","2025-02-12T00:00:00.000","2025-08-12T00:00:00.000","Gas","170.00","0.00","Inactivo"
"Ecopetrol S.A.","Pijao Potrerillo","Loma larga","Honda","Explotación","2025","8","Extensas","2025-06-25T00:00:00.000","2025-12-24T00:00:00.000","Petróleo y gas","3.56","13.00","Activo"
"Geopark Colombia S.A.S.","LLA 123","Saltador","Barco","Evaluación","2025","8","Extensas","2025-08-13T00:00:00.000","2026-02-13T00:00:00.000","Petróleo","0.00","153.00","Activo"
"Geopark Colombia S.A.S.","LLA 123","Saltador","Barco","Evaluación","2025","8","Extensas","2025-04-29T00:00:00.000","2025-12-18T00:00:00.000","Petróleo y gas","21.82","1098.00","Activo"
"Geopark Colombia S.A.S.","LLA 123","Toritos","Barco","Evaluación","2025","8","Extensas","2025-03-22T00:00:00.000","2026-02-16T00:00:00.000","Petróleo y gas","88.16","1327.00","Activo"
"Geopark Colombia S.A.S.","LLA 123","Toritos","Barco","Evaluación","2025","8","Extensas","2025-07-01T00:00:00.000","2025-12-31T00:00:00.000","Petróleo y gas","17.00","134.00","Inactivo"
"Geopark Colombia S.A.S.","Llanos 87","Zorzal","Barco","Evaluación","2025","8","Extensas","2025-07-16T00:00:00.000","2025-12-27T00:00:00.000","Petróleo y gas","28.00","239.00","Activo"
"Geopark Colombia S.A.S.","Llanos 87","Zorzal","Barco","Evaluación","2025","8","Extensas","2025-07-01T00:00:00.000","2025-12-27T00:00:00.000","Petróleo y gas","12.00","0.00","Inactivo"
"Geopark Colombia S.A.S.","LLA 123","Saltador","Barco","Evaluación","2025","8","Extensas","2024-12-17T00:00:00.000","2025-06-17T00:00:00.000","Petróleo y gas","1.87","570.00","Inactivo"
"Geopark Colombia S.A.S.","LLA 123","Toritos","Barco","Evaluación","2025","8","Extensas","2025-05-12T00:00:00.000","2026-01-09T00:00:00.000","Petróleo y gas","63.30","1151.00","Activo"
"Gran Tierra Energy","Alea 1848 A","Rose","Villeta Arena N","Evaluación","2025","8","Extensas","2024-05-30T00:00:00.000","2024-11-26T00:00:00.000","Petróleo y gas","0.00","0.00","Inactivo"
"Gran Tierra Energy","CPI Sur Oriente","Cohembi","Pepino","Explotación","2025","8","Extensas","2024-10-26T00:00:00.000","2025-04-24T00:00:00.000","Gas","0.09","0.00","Activo"
"Gran Tierra Energy","PUT 7","Alpha","Pepino","Explotación","2025","8","Extensas","2024-10-29T00:00:00.000","2025-01-31T00:00:00.000","Gas","0.12","0.00","Activo"
